Episode_ID,Seed,現在のターン,Lv0_狙い(宣言),Lv0_近い方を狙ったか,Lv1_狙い(宣言),Lv1_近い方を狙ったか,Lv1_協調判定(被り回避),Lv1_意図推定,Lv1_推定理由,Lv1_決定行動,Lv1_行動理由,Lv0_決定行動,Lv0_行動理由,Lv1_X,Lv1_Y,Lv0_X,Lv0_Y,PreyA_X,PreyA_Y,PreyB_X,PreyB_Y,Lv0-A(Manhattan),Lv0-A(Torus),Lv0-B(Manhattan),Lv0-B(Torus),Lv1-A(Manhattan),Lv1-A(Torus),Lv1-B(Manhattan),Lv1-B(Torus),再計算_Lv0-A距離(マンハッタン),再計算_Lv0-B距離(マンハッタン),再計算_Lv0-A距離(ユークリッド),再計算_Lv0-B距離(ユークリッド),抽出_Lv1予想ターゲット,抽出_Lv0宣言ターゲット,判定_意図推定一致,判定_距離合理性(マンハッタン),判定_距離合理性(ユークリッド)
1,968602,1,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者は(2,1)に位置しており、獲物A(5,6)が右へ移動することで狙いやすい位置にあるため、狙っていると推定した。",左,"獲物Bは現在(8,9)にいるため、左に移動することで次ターンに捕獲する可能性が高まる。",右,"獲物Aに近づくため、自己の座標(2,1)から(3,1)へ移動することで次ターンに獲物Aの座標(5,6)に近づき、捕獲のチャンスを増やすため",7,17,2,1,5,6,8,9,8,8,14,14,13,11,9,9,8,14,5.83,10.0,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,2,獲物A,⚪︎,獲物A,⚪︎,△,不明,他者の位置と獲物の位置の距離から、どちらの獲物にも移動が可能であるが、行動がどちらに向かうかは不明である,左,獲物Aは自己から近い位置にいるため、捕獲の可能性が高い。左に移動することで獲物Aに接近し、次ターンに捕獲を狙える。,右,獲物Aに近づき、捕獲のチャンスを増やすため,6,17,3,1,5,5,8,9,6,6,13,13,13,9,10,10,6,13,4.47,9.43,,獲物A,-,⚪︎,⚪︎
1,968602,3,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の現在の座標(4, 1)から獲物Aの位置(6, 5)へは、上へ移動することが最短経路であり、獲物Aが未捕獲であるため、狙いやすいと推測した。",上,獲物Aは現在未捕獲であり、他者が獲物Aを狙う意図があるため、上に移動することで獲物Aへのアプローチを速め、競り合いながら捕獲を目指すため。,右,獲物Aは自己から右に位置しており、次ターンでの距離を縮めるために右へ移動することで捕獲の可能性を高めることができるため。,5,17,4,1,6,5,8,9,6,6,12,12,13,9,11,11,6,12,4.47,8.94,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,4,獲物A,⚪︎,獲物A,△,✖️,獲物Aを狙っている,他者の座標が獲物Aの座標よりも下にあり、上に移動することで獲物Aに近づくことができるため,上,獲物Aは自己から見て近い位置にあり、上に移動することで獲物Aに接近できるため、捕獲の可能性が高まる。,下,"獲物Aは(7, 5)にいるため、自己の位置から獲物Aに近づくために下に移動することで捕獲のチャンスを高めることができる。",5,16,5,1,7,5,9,9,6,6,12,12,13,11,11,11,6,12,4.47,8.94,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,5,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,他者の現在位置が獲物Aの方へ進む位置にあり、獲物Aが未捕獲であるため、より捕獲しやすいターゲットとして選ばれていると思われる。,上,現在の自己の位置から獲物Aに近づくためには上に移動するのが最も効率的であり、他者が獲物Aを狙っているため、競争を避けるためにも早急に獲物Aに接近する必要があるため。,下,獲物Aに近づくためには、まず下に移動してY座標を近づける必要があるため。,5,15,5,2,8,5,9,9,6,6,11,11,13,13,10,10,6,11,4.24,8.06,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,6,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者の座標(5, 3)から獲物Aの座標(8, 5)へ移動するためには、上に移動することで一番近づけるため。",上,獲物Aを捕獲するためには、次に上に移動することで獲物Aに近づくことができ、他者も獲物Aを狙っているため連携しやすい。,右,獲物Aは現在の自己の位置から2マス右に位置しており、最短でアプローチするのに最適な動きだからです。,5,14,5,3,8,5,9,9,5,5,10,10,12,12,9,9,5,10,3.61,7.21,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,7,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者の位置が獲物Aに近く、獲物Aの座標（8, 4）に向かうための移動が可能であるから",右,"獲物Aの座標が(8, 4)で、自己の現在位置から右に移動することで最短ルートとなり、他者が獲物Aを狙っているため、先に捕獲したい",右,"獲物Aが現在(8, 4)に位置しており、次のターンで近づくためには自己が右に移動することが最も効果的です。",5,13,6,3,8,4,9,9,3,3,9,9,12,12,8,8,3,9,2.24,6.71,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,8,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の現在位置(7, 3)から獲物Aの位置(9, 4)への移動が可能であり、獲物Aを狙っていると考えられる",右,獲物Bは現在獲物Aよりも自分に近く、隣接するマスにいるため、次ターンでの捕獲が可能であるため,右,"獲物Aは現在(9, 4)に位置しており、自己の位置(7, 3)から右に移動することで獲物Aの方に接近できるため。",6,13,7,3,9,4,10,9,3,3,9,9,12,12,8,8,3,9,2.24,6.71,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,9,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者の座標が(8, 3)で、獲物Aの座標(9, 4)に対して1マス右に移動すれば獲物Aに接近できるため。",上,"獲物Aは(9, 4)にいますが、他者が獲物Aに向かっているため、捕獲を分担するためには接近する必要があります。次に上に移動することで、獲物Aをさらに狙いやすくなります。",右,獲物Aが自己の右隣に位置しており、次ターンで獲物Aを捕獲するために最も効率的だから。,7,13,8,3,9,4,10,9,2,2,8,8,11,11,7,7,2,8,1.41,6.32,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,10,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の座標が(9, 3)で、獲物Aの座標(10, 4)に1歩で到達できるため、獲物Aを狙っていると推定した",下,"獲物Bの座標(10, 9)に向かうために、自己座標(7, 12)から最短ルートを進む必要がある。",右,"獲物Aが現在(10, 4)にあり、次のターンで右に移動すれば、獲物Aと同じ座標に到達できるため、捕獲のチャンスを最大化するために獲物Aを狙います。",7,12,9,3,10,4,10,9,2,2,7,7,11,11,6,6,2,7,1.41,6.08,獲物A,獲物A,⚪︎,⚪︎,⚪︎
