Episode_ID,Seed,現在のターン,Lv0_狙い(宣言),Lv0_近い方を狙ったか,Lv1_狙い(宣言),Lv1_近い方を狙ったか,Lv1_協調判定(被り回避),Lv1_意図推定,Lv1_推定理由,Lv1_決定行動,Lv1_行動理由,Lv0_決定行動,Lv0_行動理由,Lv1_X,Lv1_Y,Lv0_X,Lv0_Y,PreyA_X,PreyA_Y,PreyB_X,PreyB_Y,Lv0-A(Manhattan),Lv0-A(Torus),Lv0-B(Manhattan),Lv0-B(Torus),Lv1-A(Manhattan),Lv1-A(Torus),Lv1-B(Manhattan),Lv1-B(Torus)
1,622809,1,獲物A,⚪︎,獲物B,✖️,⚪︎,獲物Aを狙っている,"他者の座標が(0, 1)で、獲物Aの座標が(6, 1)と横一線にあることから、他者は右に移動して獲物Aに近づこうとしていると推測される。",右,自己の位置から獲物Bに向かうため、右に移動することで獲物Bに近づき、捕獲のチャンスを増やすことができる。,右,獲物Aの座標に近づくため、右に移動して捕獲の可能性を高める。,14,0,0,1,6,1,8,13,6,6,20,16,9,9,19,13
1,622809,2,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者座標(1, 1)から獲物A座標(7, 1)に向かう距離が近く、獲物Aが未捕獲のため狙っている可能性が高い",左,獲物Aに接近するため、次ターンの移動で獲物Aを捕獲できる可能性を高めるため,右,獲物Aは現在私の近くに位置していて、右に移動することで獲物Aに近づけるため。,15,0,1,1,7,1,8,13,6,6,19,15,9,9,20,14
1,622809,3,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の現在位置(2, 1)から獲物A(8, 1)への移動が可能であり、獲物Bへの移動よりも短距離のため、獲物Aを狙っていると推定",左,"自己の座標(14, 0)から獲物A(8, 1)に向かうために、左に移動することで獲物Aに近づき、次のターンで捕獲のチャンスを高めるため",右,獲物Aの位置が現在の自己座標から右方向にあり、次のターンでの捕獲を目指すため,14,0,2,1,8,1,9,13,6,6,19,15,7,7,18,12
1,622809,4,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の位置（3, 1）から獲物A（9, 1）までの移動が可能であり、獲物B（9, 13）よりも獲物Aへの距離が近いため",右,獲物Aに近づき、捕獲を目指すため。次ターンで獲物Aを捕獲する可能性が高まる。,右,"獲物Aの座標(9, 1)に向かうために右に移動することで、次回のターンで捕獲の可能性を高めるため。",13,0,3,1,9,1,9,13,6,6,18,14,5,5,17,11
1,622809,5,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の現在位置(4, 1)から獲物A(9, 1)の距離が近く、獲物Bへの距離よりも獲物Aへの距離が短いため、獲物Aを優先して狙っていると推測した",左,"獲物Aに近づくための移動であり、獲物Aの座標は(9, 1)で、自己の座標(14, 0)から左に移動することで次ターンに獲物Aをより捕獲しやすくなるため。",右,"獲物Aは現在(9, 1)におり、自己の座標(4, 1)から右に移動することで獲物Aに近づくことができるため。",14,0,4,1,9,1,9,12,5,5,16,14,6,6,17,13
1,622809,6,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の現在位置（5, 1）から獲物A（9, 0）への距離が近く、次の動作で右に移動することで獲物Aに接近できるため。",左,獲物Aに近づくため、左に移動することで次ターンに獲物Aを捕獲できる可能性が高まるため。,右,"獲物Aは現在座標(9, 0)におり、自己の位置(5, 1)から右に移動することで(6, 1)に進むことができ、次のターンで獲物Aに近づくことができるため、効率的に捕獲を目指します。",13,0,5,1,9,0,10,12,5,5,16,14,4,4,15,11
1,622809,7,獲物B,✖️,獲物B,✖️,✖️,獲物Bを狙っている,"他者の座標(6, 1)から獲物Bの座標(10, 12)に向かうには右方向に移動する必要があるため。",上,獲物Bに近づきつつ、次ターンで捕獲のチャンスを高めるために、獲物Bの座標に移動する必要があるため。,右,"獲物Bに近づくためには右に移動するのが最も効率的であり、獲物Bの位置（10, 12）に対して自己の位置（6, 1）から右に移動することで、次ターンでの捕獲の可能性が高まるため。",12,0,6,1,9,19,10,12,21,5,15,13,22,4,14,10
1,622809,8,獲物A,⚪︎,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の座標は(7, 1)で、獲物Aの座標(10, 19)の右方向に近づくことができるため、獲物Aを狙っていると推測した",左,自己の位置から獲物Aに近づくため。左に移動することで、次のターンには獲物Aを捕獲できる可能性が高まる,下,"獲物Aは現在(10, 19)に位置しており、自己は(7, 1)にいるため、下に移動することで獲物Aの捕獲に向けての距離を縮めることができる。これにより、次ターンで獲物Aに近づくことが可能となる。",12,19,7,1,10,19,10,12,21,5,14,12,2,2,9,9
1,622809,9,獲物B,✖️,獲物A,⚪︎,✖️,獲物Aを狙っている,"他者の座標(7,2)から獲物Aの座標(10,19)への距離が近く、次の行動として右に移動することで獲物Aに向かうことができるため、獲物Aを狙っていると推測される",左,獲物Aは自己の左隣に位置しており、左に移動することで獲物Aとの距離を縮め、次のターンで捕獲の可能性が高まるため,右,"獲物Bは自己の右側の10,12に位置しており、次のターンで捕獲できる可能性が高いため、先に獲物Bを狙います。",11,19,7,2,10,19,10,12,20,6,13,13,1,1,8,8
1,622809,10,獲物B,✖️,獲物B,✖️,✖️,獲物Bを狙っている,他者の位置が獲物Bに近く、また獲物Aは既に捕獲中であるため、他者は捕獲可能な獲物Bを狙っていると判断した,下,獲物Bは未捕獲であり、次ターンに他者が獲物Bを狙う可能性が高いため、捕獲のチャンスを確保するために自分も獲物Bの方向に移動する必要がある,右,獲物Bは現在、自己の隣のセルに位置しているため、捕獲するための距離が近いから。,10,19,8,2,10,19,11,12,19,5,13,13,0,0,8,8
