Episode_ID,Seed,現在のターン,Lv0_狙い(宣言),Lv0_近い方を狙ったか,Lv1_狙い(宣言),Lv1_近い方を狙ったか,Lv1_協調判定(被り回避),Lv1_意図推定,Lv1_推定理由,Lv1_決定行動,Lv1_行動理由,Lv0_決定行動,Lv0_行動理由,Lv1_X,Lv1_Y,Lv0_X,Lv0_Y,PreyA_X,PreyA_Y,PreyB_X,PreyB_Y,Lv0-A(Manhattan),Lv0-A(Torus),Lv0-B(Manhattan),Lv0-B(Torus),Lv1-A(Manhattan),Lv1-A(Torus),Lv1-B(Manhattan),Lv1-B(Torus)
1,605700,1,獲物B,⚪︎,獲物A,✖️,⚪︎,獲物Bを狙っている,"他者は現在(7, 13)に位置しており、獲物B(11, 17)に向かうことで近づくことができるため",右,獲物Aに近づくためには右に移動するのが最も効果的であり、他者が獲物Bを狙っているため、獲物Aを捕獲するチャンスを高めることができる。,右,"獲物Bは現在(11, 17)に位置しており、自己の位置から右に移動することで獲物Bに近づくことができるため、捕獲の可能性を高めるためにこの行動を選択します。",9,8,7,13,13,0,11,17,19,13,8,8,12,12,11,11
1,605700,2,獲物B,⚪︎,獲物A,✖️,⚪︎,獲物Bを狙っている,他者は獲物Bの位置に近づくための行動を選択する可能性が高い、また獲物Aは遠くに位置しているため,右,"獲物Aの位置(13,0)に向かうため近づく必要があり、次のターンで捕獲する可能性を高めるため",右,"獲物Bは現在(11, 17)におり、自己の位置(8, 13)から右に移動することで獲物Bに近づくことができるため、捕獲のチャンスを高める。",10,8,8,13,13,0,11,17,18,12,7,7,11,11,10,10
1,605700,3,獲物B,⚪︎,獲物A,✖️,⚪︎,獲物Bを狙っている,"他者の座標(9, 13)から獲物Bの座標(12, 17)に向かうには上の移動が効果的であり、獲物Aからは遠いため",右,"獲物Aの位置（14, 0）に近づくため、自己の現在位置（11, 8）から右に移動することで次ターンに獲物Aを捕獲しやすくなるため。",下,獲物Bに近づくためには下に移動するのが最も効果的であり、次ターンに捕獲のチャンスを増やすため。,11,8,9,13,14,0,12,17,18,12,7,7,11,11,10,10
1,605700,4,獲物B,⚪︎,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の位置(9, 14)から獲物Bの位置(12, 16)までの距離が近く、さらに獲物Aは遠いため、獲物Bを捕獲する可能性が高いと判断した。",上,獲物Bの座標に近づくことで、次ターンでの捕獲の可能性を高めるため。,上,獲物Bが自己の現在座標から近い（Y座標が16と高く接近する必要があるため）ことから、これを優先して捕獲を試みるため。,12,8,9,14,14,0,12,16,19,11,5,5,10,10,8,8
1,605700,5,獲物B,⚪︎,獲物B,△,✖️,獲物Bを狙っている,"他者は現在(9, 13)におり、獲物Bは(12, 16)にいる。上に移動することで獲物Bに近づくことができるため、獲物Bを狙っていると推定した",上,"獲物Bは現在(12, 16)にいて、自己の位置(12, 7)から上に移動することで獲物Bに近づくことができるため、捕獲のチャンスが高まる。",上,"獲物Bに近づくためには、8, 13に移動することが有効であり、獲物Bの捕獲を目指すための移動が必要だから。",12,7,9,13,14,0,12,16,18,12,6,6,9,9,9,9
1,605700,6,獲物B,⚪︎,獲物B,△,✖️,獲物Bを狙っている,"他者の現在座標(9, 12)は獲物B(12, 15)に対して上の位置にあり、獲物Bに移動するためには上に進むのが最も効果的な行動と考えられる。",上,"自己の座標(12, 6)から獲物B(12, 15)に垂直方向で接近するため、次のターンで獲物Bを捕獲する可能性が高まる。",右,獲物Bは現在自己から右側に位置しており、次のターンに近づくことで捕獲の可能性を高めるため,12,6,9,12,15,0,12,15,18,14,6,6,9,9,9,9
1,605700,7,獲物B,⚪︎,獲物B,✖️,✖️,獲物Bを狙っている,"他者の位置(10,12)から獲物B(12,14)へ上方向に移動して捕獲に向かうと推測される。",上,"獲物Bの位置が12,14であり、上に移動することで獲物Bに近づくことができるため。",右,獲物Bは現在の自己の位置から右に進むことで接近できるため、次ターンで捕獲の可能性を高める。,12,5,10,12,15,0,12,14,17,13,4,4,8,8,9,9
1,605700,8,獲物B,⚪︎,獲物B,✖️,✖️,獲物Bを狙っている,他者の座標が獲物Bのすぐ下に位置しており、獲物Bとの距離を縮めるためには上に移動するのが最適だから。,上,獲物Bは現在自己の真上に位置しており、上に移動することで次ターンに捕獲可能な状況を作ることができるため。,上,"獲物Bの座標が(12, 14)で、現在の自己の座標(11, 12)から上下することで近づくことができるため、捕獲しやすい状況を作り出すために北上する。",12,4,11,12,15,19,12,14,11,11,3,3,18,8,10,10
1,605700,9,獲物B,⚪︎,獲物B,✖️,✖️,獲物Bを狙っている,"他者の現在の座標(11, 11)から獲物Bの座標(12, 14)に近づくためには、上に動くことが最も効果的であり、直線的に接近しているため。",上,"獲物Bの座標(12, 14)に近づくことで、次ターンで獲物Bを捕獲する可能性が高いため。",右,"獲物Bは近くに位置しており（座標12,14）、右に動くことで獲物Bに接近しやすくなり、捕獲の可能性を高めるため。",12,3,11,11,15,19,12,14,12,12,4,4,19,7,11,9
1,605700,10,獲物B,⚪︎,獲物B,✖️,✖️,獲物Bを狙っている,他者の現在座標が獲物Bの近くにあるため、獲物Bを狙う意図があると判断した,下,獲物Bに最も近い位置にいるため、他者の意図と合致して獲物Bの捕獲を目指すことで、効率的に捕獲を進められる。,右,"獲物Bの座標(13, 14)に近づくために右に移動し、次ターンで捕獲しやすくするためです。",12,2,12,11,15,18,13,14,10,10,4,4,19,7,13,9
