【統計サマリー】
試行回数,20
平均ターン数,95.65
最大ターン数,100
最小ターン数,52
Lv0 平均一致回数(近接),61.8
Lv1 平均一致回数(近接),62.35
Lv1 平均協調回数(被り回避),38.4

Episode_ID,Seed,End_Turn,Note,Lv0_Match_Count,Lv1_Match_Count,Lv1_Coop_Count
1,968602,100,TimeUp,62,75,33
2,351877,100,TimeUp,62,65,31
3,312937,61,Clear,44,41,25
4,434391,100,TimeUp,75,61,49
5,807993,100,TimeUp,68,77,60
6,938993,100,TimeUp,66,74,33
7,253501,100,TimeUp,59,58,53
8,243205,100,TimeUp,60,60,51
9,213863,100,TimeUp,68,65,38
10,206352,100,TimeUp,60,58,21
11,461676,100,TimeUp,64,73,45
12,397444,100,TimeUp,82,76,31
13,218267,100,TimeUp,63,54,53
14,61843,52,Clear,33,34,7
15,567974,100,TimeUp,77,61,30
16,762326,100,TimeUp,52,60,37
17,320300,100,TimeUp,65,81,26
18,437558,100,TimeUp,65,62,39
19,197282,100,TimeUp,54,58,50
20,236707,100,TimeUp,57,54,56
